지반침하사고발생신고,,,,,,,,,,,,,,,,,,,
No,사고발생위치,사고발생일자,통보일자,발생원인구분,발생지역지질종류,발생규모폭(m),발생규모연장(m),발생규모깊이(m),피해사망자수(명),피해부상자수(명),피해차량대수(대),사고지점위도,사고지점경도,복구방법,복구상태,복구완료일자,최종수정일자,최종 수정자,최종 수정자 ID
83,부산광역시 북구 구포동 1222-22(동성종합상가 일원),2024-04-19 오전 00:00,2024-05-16 오후 02:24,다짐(되메우기) 불량,,0.8,0.8,1.3,0,0,0,35.19850316,129.0075958622,"굴착 후 공동 재확인, 되메우기 및 다짐 등 복구공사 완료",복구완료,2024-04-22 오전 00:00,2024-07-29 오후 07:58,신상기,ssk3325
84,전라남도 광양시 중동 1351-5일원,2024-04-17 오전 00:00,2024-04-18 오전 11:29,하수관 손상,,2,2,1.5,0,0,0,34.9443202877,127.6948226858,"토사 되메우기, 다짐실시, 도로 포장 등 ",복구완료,2024-04-18 오전 00:00,2024-04-18 오후 04:30,신상기,ssk3325
85,광주광역시 북구 양산동 401-33,2024-04-12 오전 00:00,2024-07-18 오후 02:16,기타매설물 손상,,1,1,1.4,0,0,0,35.1977446389,126.880623576,굴착부분 되메우기 재시공 및 포장복구,복구완료,2024-04-14 오전 00:00,2024-08-01 오전 10:59,신상기,ssk3325
86,대전광역시 중구 대사동 대사동 99-23번지,2024-04-11 오전 00:00,2024-07-17 오후 01:28,하수관 손상,,0.3,0.3,1.8,0,0,0,36.3171898687,127.4248548275,"손상 부분 몰탈 보수 후 되메우기 및 포장 복구 완료
",복구완료,2024-04-16 오전 00:00,2024-07-17 오후 01:28,,
87,경기도 평택시 고덕면 방축리 287-9,2024-04-09 오전 00:00,2024-07-17 오전 10:59,하수관 손상,기타,1,1,1.5,0,0,0,37.0213012929,127.0506340165,긴급보수공사,복구완료,2024-04-09 오전 00:00,2024-07-31 오후 04:49,신상기,ssk3325
88,경기도 의정부시 용현동 231,2024-04-02 오전 00:00,2024-07-19 오전 10:16,다짐(되메우기) 불량,,1.2,1.2,0.6,0,0,0,37.7326024641,127.0852991479,다짐 후 포장,복구완료,2024-04-11 오전 00:00,2024-07-31 오후 04:54,신상기,ssk3325
89,부산광역시 남구 용당동 신선로 294 신선대컨테이너터미널 정문 앞 도로,2024-03-14 오전 00:00,2024-03-15 오후 05:13,기타매설물 손상,,0.9,1.3,1.5,0,0,0,35.1125923494,129.0960250405,확인굴착 후 ASP 포장복구 완료 3.14일 22시,복구완료,2024-03-15 오전 00:00,2024-07-30 오후 02:06,신상기,ssk3325
90,대전광역시 중구 대흥동 630,2024-03-06 오전 00:00,2024-07-17 오후 02:08,기타,,1,2,1.2,0,0,1,36.3245463849,127.429442878,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,복구완료,2024-03-07 오전 00:00,2024-07-17 오후 02:08,,
91,경기도 남양주시 화도읍 가곡리 23-59번지,2024-03-04 오전 00:00,2024-03-05 오전 10:06,하수관 손상,,1.5,2,2,0,0,1,37.6864408811,127.3145990597,"우수관 부분 부분 교체 및 골재 채움, 아스콘 포장(사고발생 현황보고 반영, 7.23)",복구완료,2024-03-07 오전 00:00,2024-07-31 오후 05:03,신상기,ssk3325
92,서울특별시 성북구 길음동 532-17,2024-02-23 오전 00:00,2024-02-24 오후 01:38,기타,기타,0.4,0.6,1,0,1,0,37.6038497168,127.0242803222,지반침하 발생위치 확인 및 내부상태 파악 후 긴급복구,임시복구,2024-02-23 오전 00:00,2024-02-24 오후 01:37,서울특별시 성북구,min2506
93,서울특별시 노원구 공릉동 656-2,2024-02-22 오전 00:00,2024-09-05 오전 09:11,상수관 손상,,2.4,2,1,0,0,0,37.6184552884,127.0785129929,상수도관 정비 후 복구,복구완료,2024-02-23 오전 00:00,2024-09-05 오전 09:11,,
94,광주광역시 서구 화정동 899,2024-02-08 오전 00:00,2024-08-14 오후 01:27,하수관 손상,기타,1.5,1.5,1.5,0,0,0,35.1470043744,126.8723108427,"관접합부 보수 및 모르타르 바름으로 복구
",복구완료,2024-02-08 오전 00:00,2024-07-16 오전 09:33,,
95,경기도 남양주시 화도읍 가곡리 23-61번지,2024-02-06 오전 00:00,2024-02-14 오전 10:37,하수관 손상,,3,2.6,5,0,0,1,37.6868482683,127.3139780371,"우수관 부분 교체 및 골재 채움, 아스콘 포장",복구완료,2024-02-07 오전 00:00,2024-03-13 오후 01:17,신상기,ssk3325
96,경기도 파주시 다율동 1004,2024-02-03 오전 00:00,2024-02-05 오후 02:52,굴착공사 부실,,4,5,2,0,0,0,37.7291478673,126.7149683139,되메우기,복구완료,2024-02-29 오전 00:00,2024-08-07 오후 04:12,신상기,ssk3325
97,부산광역시 북구 금곡동 56-1번지,2024-01-28 오전 00:00,2024-07-25 오전 09:19,하수관 손상,,0.3,0.5,2.1,0,1,0,35.2670538384,129.0193016854,항구복구 완료,복구완료,2024-02-09 오전 00:00,2024-07-30 오후 01:58,신상기,ssk3325
98,서울특별시 강남구 삼성동 159-8 그랜드인터컨티넨탈 호텔 앞 보도,2024-01-16 오전 00:00,2024-01-16 오후 07:46,하수관 손상,,1.5,3,1.5,0,0,0,37.5083510621,127.0605769662,복구완료,복구완료,2024-01-16 오전 00:00,2024-07-29 오후 07:17,신상기,ssk3325
99,경기도 용인시 기흥구 농서동 37-4번지,2024-01-10 오전 00:00,2024-01-11 오후 06:15,상하수관공사 부실,,3,12,1.5,0,0,0,37.2231508756,127.0906820846,토사·골재 반입 후 되메우기 및 다짐,복구완료,2024-06-12 오전 00:00,2024-08-07 오후 04:21,신상기,ssk3325
100,강원특별자치도 고성군 토성면 봉포리 255-1,2024-01-08 오전 00:00,2024-01-09 오전 11:51,굴착공사 부실,기타,3,2,1,0,0,0,38.25346613,128.5630043409,약액주입 후 싱크홀 되메우기,복구완료,2024-01-08 오전 00:00,2024-08-07 오전 10:56,신상기,ssk3325
101,강원특별자치도 고성군 토성면 봉포리 255-1,2024-01-05 오전 00:00,2024-01-09 오전 11:34,굴착공사 부실,기타,1.5,1.5,0.7,0,0,0,38.2534598111,128.5630043409,싱크홀 메우고 다짐,복구완료,2024-01-05 오전 00:00,2024-08-07 오전 10:54,신상기,ssk3325
102,서울특별시 성북구 길음동 875-1 (길음역 7번출구),2024-01-03 오전 00:00,2024-01-04 오전 09:06,다짐(되메우기) 불량,,0.4,0.6,1.2,0,0,0,37.6043879178,127.0249112633,되메우기 후 복구 완료,복구완료,2024-01-04 오전 00:00,2024-01-04 오전 09:06,서울특별시,sejun486
103,부산광역시 동래구 온천동 1441-13번지,2023-12-27 오전 00:00,2024-02-15 오후 04:20,다짐(되메우기) 불량,,0.6,1,2.6,0,0,0,35.204724852,129.0766961045,지반침하발생구간 복구완료,복구완료,2023-12-29 오전 00:00,2024-04-08 오전 09:19,신상기,ssk3325
104,충청북도 청주시 청원구 율량동 1873,2023-12-14 오전 00:00,2024-01-11 오후 05:51,기타매설물 손상,,1.5,1.5,1.5,0,0,0,36.6663373541,127.4861336066,우수 맨홀 박스 이음매 복구 공사 및 포장 복구 완료,복구완료,2023-12-22 오전 00:00,2024-01-22 오후 02:29,신상기,ssk3325
105,서울특별시 강남구 삼성동 111-43,2023-12-08 오전 00:00,2023-12-12 오전 09:47,상수관 손상,,1,1.4,0.7,0,0,1,37.5191324312,127.052668973,복구 완료,복구완료,2023-12-09 오전 00:00,2024-01-22 오후 05:46,신상기,ssk3325
106,제주특별자치도 제주시 삼도이동 1192-31,2023-11-22 오전 00:00,2024-07-16 오전 09:48,하수관 손상,화강암류,0.8,1.5,1,0,0,0,33.5172012915,126.5228617935,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-11-24 오전 00:00,2024-07-16 오전 09:48,,
107,서울특별시 강서구 외발산동 289-29,2023-11-03 오전 00:00,2023-11-06 오후 06:23,기타매설물 손상,,0.5,0.5,1.5,0,0,0,37.551838928,126.8165949442,골재채움 및 되메우기 완료,복구완료,2023-11-03 오전 00:00,2023-11-07 오전 09:50,김동영,kim8489
108,강원특별자치도 강릉시 교동 130-2,2023-10-30 오전 00:00,2023-10-30 오후 05:19,하수관 손상,기타,2,5,2,0,0,0,37.7643789881,128.9008858475,시공사 처리 예정,복구완료,2023-11-17 오전 00:00,2023-12-20 오후 05:47,강원도 강릉시,gangneungj
109,서울특별시 영등포구 여의도동 22,2023-10-25 오전 00:00,2023-10-25 오후 05:18,하수관 손상,기타,0.5,0.3,2.5,0,1,0,37.5263690047,126.92619268,굴착복구,복구완료,2023-10-26 오전 00:00,2023-11-08 오후 03:51,신상기,ssk3325
110,인천광역시 서구 청라동 청라국제도시역 일원,2023-10-19 오전 00:00,2024-03-21 오전 09:00,기타,기타,200,41,0.04,0,0,0,37.5551220669,126.6253898074,"○ 역사 주변 보도 보수
  - 2024.3.12.(화)~3.22.(금) 
   ·역사 출입구 주변 보도 및 자전거 보관대 인근

○ 승강장 PSD 보수
  - 2024.3.12.(화)~3.22(금)
   ·긴급보수 4개소(상선3개소, 하선1개소)

○ 승강장 재하시험 및 기초보강 시험시공
  - 2024.3.13.(수)~3.21.(목)
   ·기존 파일 재하시험(1개소), Jack Pile 시험시공

○ 환기수직구 차수그라우팅
  - 2024.3.12.(화)~4.30.(화)
   ·수직구 배면 차수그라우팅(3열, 245공)",복구완료,2024-04-30 오전 00:00,2024-07-03 오전 10:12,신상기,ssk3325
111,충청북도 제천시 의림동 25-1,2023-10-19 오전 00:00,2024-01-22 오전 09:55,하수관 손상,기타,0.1,0.1,1.5,0,0,0,37.1434966634,128.2114566005,우수관 주변 굴착하여 보수 후 포장 ,복구완료,2023-11-17 오전 00:00,2024-01-22 오후 03:33,신상기,ssk3325
112,광주광역시 동구 동명동 동명동 118-3,2023-10-12 오전 00:00,2023-12-29 오전 10:07,하수관 손상,,1.3,1.3,1,0,0,0,35.1468503409,126.9277813037,흄관 보수 및 되메우기+아스콘재포장,복구완료,2023-10-13 오전 00:00,2023-12-29 오전 10:07,,
113,서울특별시 송파구 삼전동 100-7,2023-10-11 오전 00:00,2023-10-12 오후 04:37,하수관 손상,기타,0.2,0.7,1.8,0,0,0,37.5036191201,127.0923557572,동공부분 굴착후 하수관 부분개량 후 복구 ,복구완료,2023-10-12 오전 00:00,2024-07-04 오후 03:27,신상기,ssk3325
114,경기도 성남시 수정구 태평동 3499,2023-09-21 오전 00:00,2023-09-25 오후 02:17,상수관 손상,기타,0.5,0.5,1,0,0,0,37.4423471882,127.136267913,굴착복구,복구완료,2023-09-22 오전 00:00,2023-09-25 오후 02:16,,
115,전라남도 광양시 광영동 847번지 일원,2023-09-19 오전 00:00,2023-09-21 오후 06:04,기타매설물 손상,,2,2,2.2,0,0,0,34.9649429714,127.7130879111,되메우기 시행 및 보도구간 출입통제,복구완료,2023-09-19 오전 00:00,2023-10-26 오전 09:28,신상기,ssk3325
116,부산광역시 금정구 장전동 소정로 45,2023-09-19 오전 00:00,2024-02-15 오후 04:50,기타매설물 손상,,0.5,0.5,3,0,0,0,35.2287337814,129.0786064126,"하수박스 슬라브, 벽체 복구 및 도로 포장 복구",복구완료,2023-09-23 오전 00:00,2024-02-15 오후 04:50,,
117,경상남도 사천시 사남면 화전리 1640번지,2023-09-18 오전 00:00,2023-09-19 오전 09:37,하수관 손상,기타,1,1,1.5,0,0,0,35.0571568477,128.0772485261,차집관로 복구 및 도로 재포장 등,복구완료,2023-09-20 오전 00:00,2024-01-10 오전 09:43,경상남도 사천시,mpi1020
118,경상남도 진주시 상평동 상평동 155-27,2023-09-17 오전 00:00,2023-09-18 오전 08:45,하수관 손상,,2,4,2,0,0,0,35.175073733,128.1179433834,노후화된 폐수관로 교체 및 관로 내 CCTV 조사 ,복구완료,2023-09-22 오전 00:00,2023-09-26 오전 11:25,신상기,ssk3325
119,서울특별시 강남구 역삼동 800,2023-09-12 오전 00:00,2023-09-21 오전 08:40,상수관 손상,,1,1,0.5,0,0,1,37.5069860393,127.0332507549,강남수도사업소 굴착 및 제수밸브 조절,복구완료,2023-09-12 오전 00:00,2023-09-21 오전 08:39,,
120,서울특별시 서초구 잠원동 58-24,2023-09-11 오전 00:00,2023-09-11 오후 05:57,상수관 손상,기타,1.5,2,1.5,0,0,0,37.5083952933,127.0120356842,강남수도사업소 시설관리과 복구완료,복구완료,2023-09-11 오전 00:00,2024-01-22 오후 05:43,신상기,ssk3325
121,경상남도 진주시 상평동 상평동 155-29번지,2023-09-04 오전 00:00,2023-09-04 오후 06:27,하수관 손상,,3.4,1.8,3.3,0,0,0,35.1752049108,128.1179042962,폐수관 보수 및 싱크홀 발생부분 되메우기 공사 ,복구완료,2023-09-05 오전 00:00,2023-09-26 오전 11:24,신상기,ssk3325
122,부산광역시 부산진구 전포동 동천로 103,2023-08-31 오전 00:00,2024-01-09 오전 12:40,상수관 손상,,1,1.4,1.1,0,0,1,35.1578727246,129.0648459318,상수도관 복구 및 도로복구 포장,복구완료,2023-09-01 오전 00:00,2024-01-09 오전 12:40,,
123,경상북도 경주시 도지동 992번지 일원,2023-08-31 오전 00:00,2023-09-01 오전 09:21,기타매설물 손상,,3,3,2.5,0,1,3,35.7987922057,129.2668907019,"PE관(D750) 연결(L=2m), 모래 포설 및 아스콘 임시포장 ",복구완료,2023-09-01 오전 00:00,2023-09-01 오전 09:21,,
124,부산광역시 사상구 엄궁동 사상구 엄궁로 154(대림아파트 입구),2023-08-30 오전 00:00,2024-02-15 오후 02:48,기타,기타,0.5,0.5,1,0,0,0,35.1288295525,128.978044179,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,복구완료,2023-08-31 오전 00:00,2024-02-15 오후 02:48,,
125,경기도 파주시 신촌동 689,2023-08-24 오전 00:00,2023-08-24 오후 05:40,기타,,6,10,4,0,0,1,37.7395816636,126.6897508553,물고임 배수 중,복구완료,2023-08-24 오전 00:00,2024-01-17 오후 04:39,신상기,ssk3325
126,충청북도 음성군 금왕읍 오선리 536,2023-08-24 오전 00:00,2024-01-15 오후 02:12,기타매설공사 부실,,6,2.5,5,0,0,0,36.9827594076,127.575154844,"맨홀 하단부 깊이가 약 6m로 토공작업을 위해 가시설 설치 후 
맨홀 재설치 및 유출부 우수관로(VR관, D1000？D1200) 확장 시공",복구완료,2024-05-20 오전 00:00,2024-01-18 오후 03:03,충청북도 음성군,Bangh5
127,부산광역시 북구 덕천동 132-67번지 일원(덕양초등학교 일원),2023-08-24 오전 00:00,2024-01-09 오후 04:13,하수관 손상,,1.2,1.2,0.2,0,0,0,35.2099086884,129.0225957754,"굴착 후 공동 재확인, 하수도관 교체공사를 통한 복구공사",복구완료,2023-08-24 오전 00:00,2024-01-10 오전 11:20,부산광역시 북구,bukgu1
128,경기도 의정부시 용현동 46,2023-08-24 오전 00:00,2023-08-25 오후 02:05,하수관 손상,충척층,2.5,2,2.5,0,0,0,37.7325589873,127.0888786441,"파손된 우수관 임시복구, 콘크리트 및 토사 되메우기",복구완료,2023-08-24 오전 00:00,2023-08-25 오후 02:05,,
129,광주광역시 남구 봉선동 1027-1,2023-08-21 오전 00:00,2024-01-25 오후 02:50,하수관 손상,,2,2.5,2,0,0,0,35.1299509797,126.9109797141,우수맨홀 주변 굴착후 우수박스 접합부 복구 후 다짐 포장,복구완료,2023-08-25 오전 00:00,2024-01-25 오후 02:50,,
130,광주광역시 동구 산수동 562-1,2023-08-21 오전 00:00,2023-11-24 오전 09:31,하수관 손상,,1,3,2.2,0,0,0,35.1579488178,126.9353351852,흄관 보수 및 되메우기+ 아스콘재포장,복구완료,2023-08-22 오전 00:00,2023-11-24 오전 09:31,,
131,강원특별자치도 횡성군 우천면 우천면 우항리 759번지 스마일파크빌 앞 도시계획도로(소로2-201호),2023-08-20 오전 00:00,2024-01-10 오후 05:53,하수관 손상,기타,1,1,0.5,0,0,0,37.4584199754,128.0659660626,우수관로 연결부 보수 후 재 포장,복구완료,2023-08-30 오전 00:00,2024-02-02 오전 08:59,신상기,ssk3325
132,제주특별자치도 제주시 한림읍 상대리 4549-5번지,2023-08-19 오전 00:00,2023-08-30 오후 05:10,기타매설물 손상,기타,2.5,2.5,1,0,0,0,33.3931698462,126.281033036,보수팀 투입-&gt;농업용수관보수-&gt;되메우기 및 다짐-&gt;표층 및 기층 아스콘 포설,복구완료,2023-08-31 오전 00:00,2024-01-05 오후 01:08,제주특별자치도,jejuunder004
133,충청북도 제천시 청전동 623,2023-08-18 오전 00:00,2024-01-22 오전 09:36,하수관 손상,기타,0.2,0.1,1.5,0,0,0,37.1528380181,128.2146091543,굴착 후 이음부 보수 후 포장 완료,복구완료,2023-08-21 오전 00:00,2024-01-22 오전 09:36,,
134,광주광역시 북구 우산동 584,2023-08-15 오전 00:00,2023-12-18 오후 04:20,기타매설물 손상,,0.3,0.3,1,0,0,0,35.1817600548,126.9191145369,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-08-15 오전 00:00,2023-12-18 오후 04:20,,
135,대전광역시 중구 대사동 226-38번지,2023-08-14 오전 00:00,2024-01-11 오전 10:27,하수관 손상,기타,0.5,1,2.2,0,0,0,36.3172209108,127.423155841,하수관로와 맨홀 접합부 보수 후 포장 복구 완료,복구완료,2023-08-14 오전 00:00,2024-01-11 오전 10:26,,
136,경기도 화성시 반송동 95,2023-08-14 오전 00:00,2024-01-15 오전 09:39,기타매설공사 부실,,2.5,2,4,0,0,0,37.2039140656,127.0702211982,"임시 조치방안인 내부 토사채움 예정 단, 이해관계 부서 및 기관 등 협의를 통해 실시하여야 함",복구완료,2024-03-30 오전 00:00,2024-06-20 오전 09:37,신상기,ssk3325
137,"경기도 안산시 단원구 초지동 초지동 803-6(위도 : 37.32179069, 경도 : 126.80578876)",2023-08-13 오전 00:00,2023-08-22 오전 10:53,하수관 손상,기타,0.5,1,2,0,1,0,37.3215217304,126.805750025,싱크홀 구간 보도블럭 재포장,복구완료,2023-08-14 오전 00:00,2023-08-22 오후 06:01,신상기,ssk3325
138,부산광역시 사상구 모라동 사상구 모라로64번길 67(신아주택 인근),2023-08-12 오전 00:00,2024-02-15 오후 02:41,하수관 손상,기타,1,1,1.3,0,0,0,35.1900815658,128.9845485283,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,복구완료,2023-08-12 오전 00:00,2024-02-15 오후 02:41,,
139,서울특별시 강남구 청담동 77-4,2023-08-11 오전 00:00,2023-08-14 오전 10:59,상수관 손상,,0.5,2,0.5,0,0,0,37.5232991031,127.0556596003,상수도관 접합부 완전 복구 후 되메우기,복구완료,2023-08-11 오전 00:00,2023-08-14 오전 10:59,,
140,부산광역시 북구 구포동 1263-22번지 일원(부산과학기술대학교 일원),2023-08-10 오전 00:00,2023-12-05 오전 10:54,상하수관공사 부실,,1.2,1.5,0.9,0,0,0,35.1946389208,129.0060432238,하수관로 이음부와 맨홀 접속부 결함 보수·보강 등 복구공사,복구완료,2023-09-28 오전 00:00,2024-04-08 오전 09:21,신상기,ssk3325
141,부산광역시 북구 구포동 1084-3번지 일원(협진태양아파트 일원),2023-08-10 오전 00:00,2023-12-05 오전 10:52,하수관 손상,,2,1.4,1,0,0,0,35.1974928662,128.9951673586,"굴착 후 공동 재확인, 하수도관 교체공사를 통한 복구공사",복구완료,2023-08-11 오전 00:00,2024-01-10 오전 11:22,부산광역시 북구,bukgu1
142,충청북도 제천시 화산동 201-9,2023-08-08 오전 00:00,2024-01-22 오전 09:33,하수관 손상,기타,0.2,0.2,1.5,0,0,0,37.1316760366,128.20799825,굴착 후 이음 부 보수 및 포장 완료,복구완료,2023-08-09 오전 00:00,2024-01-22 오전 09:32,,
143,서울특별시 성북구 성북동 309-5,2023-08-06 오전 00:00,2023-08-07 오전 10:02,상하수관공사 부실,기타,1,3,0.5,0,0,0,37.5985022626,126.9934679567,"상수관로 2개 제거, 하수관로 부설, 차도포장 완료 및 차량통해 재개",복구완료,2023-08-06 오전 00:00,2023-08-07 오전 10:02,서울특별시 성북구,min2506
144,대전광역시 서구 둔산동 953번지 인근,2023-08-02 오전 00:00,2024-01-10 오후 02:31,하수관 손상,충척층,0.5,1,1,0,0,0,36.3576260745,127.3792817494,하수관로 보수보강 및 도로복구,복구완료,2023-08-03 오전 00:00,2024-01-10 오후 02:30,,
145,부산광역시 강서구 구랑동 878-8번지 일원(보도),2023-08-01 오전 00:00,2023-08-04 오후 03:15,하수관 손상,기타,1.2,10,2,0,0,0,35.1237880834,128.8497944597,토사유실구간 등 혼합골재 되메우기 및 안전휀스 설치,복구완료,2023-08-01 오전 00:00,2024-07-04 오후 03:37,신상기,ssk3325
146,강원특별자치도 속초시 영랑동 148-38번지,2023-07-31 오전 00:00,2023-08-01 오전 11:11,다짐(되메우기) 불량,,2.5,1.5,1.5,0,0,0,38.2174325396,128.593896986,"- 해당 그라우팅 추가 확산 시공
- 토공사 완료시까지 지하 유출수 발생 시 즉시 차수 그라우팅 및 철판 보강 시행(2주마다 GPR 탐사)",복구완료,2023-08-04 오전 00:00,2024-02-20 오전 10:05,신상기,ssk3325
147,제주특별자치도 제주시 조천읍 신북로 260,2023-07-26 오전 00:00,2023-08-01 오전 11:32,하수관 손상,기타,2,2.5,1.2,0,0,0,33.537992157,126.6396864846,"보수팀 투입 -&gt; 주변부 커팅 -&gt; 우수관 복구 -&gt; 토사, 잡석 타설 및 다짐 -&gt; 초속경 시공 -&gt; 아스콘 타설",복구완료,2023-08-01 오전 00:00,2023-08-01 오전 11:32,,
148,서울특별시 송파구 석촌동 15-3 앞 석촌지하차도 옆 도로,2023-07-26 오전 00:00,2023-07-27 오후 01:10,다짐(되메우기) 불량,,1.5,7,5,0,0,0,37.5028891845,127.1000151437,침하 부분 되메우기 및 포장복구 완료,복구완료,2023-07-27 오전 00:00,2023-07-27 오후 01:08,,
149,광주광역시 광산구 장덕동 976-1,2023-07-25 오전 00:00,2023-08-03 오후 04:20,하수관 손상,,1.5,1.5,1.3,0,0,0,35.1966425401,126.8056628531,손상된 하수관로 보수,복구완료,2023-07-26 오전 00:00,2023-08-03 오후 04:55,서경준,sgj6363
150,광주광역시 광산구 산정동 999,2023-07-25 오전 00:00,2023-12-18 오후 04:12,하수관 손상,,1,1,1.5,0,0,0,35.1668448623,126.8019807652,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-07-25 오전 00:00,2023-12-18 오후 04:12,,
151,경상남도 양산시 물금읍 증산리 943-4 일원,2023-07-25 오전 00:00,2023-07-27 오후 03:50,기타매설공사 부실,기타,4,30,0.05,0,0,0,35.290333211,129.0093740751,"  ○ 도로부 침하구간 교통통제 및 안전시설물 설치 및 도달수직구 내 물채움
  ○ 7/28(금) ~ 7/30(일) 도로 임시복구 시행 예정
  ○ 원상복구 일정은 추후 재협의",복구완료,2023-08-16 오전 00:00,2023-09-26 오후 04:15,이상혁,kalis02
152,광주광역시 광산구 장덕동 972-7,2023-07-25 오전 00:00,2023-12-18 오후 04:17,하수관 손상,,2.5,2.5,2,0,0,0,35.1967313508,126.8060541933,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-07-25 오전 00:00,2023-12-18 오후 04:17,,
153,경기도 포천시 소흘읍 직동리 373,2023-07-23 오전 00:00,2023-07-24 오전 09:35,기타매설물 손상,기타,2,4,5,0,0,0,37.773326067,127.1595257334,2023. 7. 23. 13:20 : 포천시 도로과 → 일부 토사 채움 및 안전조치 완료,복구완료,2023-08-31 오전 00:00,2023-10-19 오전 10:57,신상기,ssk3325
154,대전광역시 서구 월평동 223번지,2023-07-22 오전 00:00,2024-01-10 오후 02:21,하수관 손상,충척층,1.5,1.5,1,0,0,0,36.3640995349,127.3767577907,하수관로 교체 및 도로복구,복구완료,2023-07-24 오전 00:00,2024-01-10 오후 02:21,,
155,광주광역시 북구 운암동 496-5,2023-07-21 오전 00:00,2023-12-18 오후 04:06,하수관 손상,,0.3,0.3,1.5,0,0,0,35.1727511285,126.8889692602,굴착부분 되메우기 재시공 및 포장복구 완료,복구완료,2023-07-21 오전 00:00,2023-12-18 오후 04:06,,
156,경상남도 창원시 의창구 대산면 유등리 870-1,2023-07-20 오전 00:00,2023-07-21 오후 05:18,하수관 손상,기타,1.5,2.5,2,0,0,0,35.3413503925,128.7410067443,관 정비후 싱크홀부분 되메우기 재시공 및 포장 복구 완료,복구완료,2023-07-25 오전 00:00,2024-01-08 오후 05:42,경상남도 창원시,dkswjs
157,서울특별시 송파구 송파동 58-1,2023-07-19 오전 00:00,2023-07-20 오전 00:12,하수관 손상,기타,1,1,1,0,0,0,37.5116229678,127.1078955878,도로함몰구간 굴착 후 골재부설 및 콘크리트로 임시복구 완료 ,복구완료,2023-07-20 오전 00:00,2024-07-04 오후 03:28,신상기,ssk3325
158,부산광역시 북구 만덕동 51-9번지 일원(만덕1터널 입구 일원),2023-07-19 오전 00:00,2023-07-20 오후 02:03,하수관 손상,,3.5,2,3.5,0,0,1,35.2141830693,129.0456473502,"기존 2.0x1.4 암거 → D1,200mm 원형관으로 부설 및 도로복구",복구완료,2023-09-27 오전 00:00,2024-01-10 오전 11:24,부산광역시 북구,bukgu1
159,광주광역시 서구 금호동 195-10,2023-07-18 오전 00:00,2024-01-25 오전 11:10,하수관 손상,기타,0.7,0.7,2,0,0,0,35.1269352248,126.8535465372,"함몰부분 골재 되메우기 및 관로 모르타르 바름으로 복구
",복구완료,2024-07-17 오전 00:00,2024-01-25 오전 11:08,,
160,부산광역시 남구 대연동 수영로 경성대부경대역 3번 출구 앞 엘리베이터 일원,2023-07-17 오전 00:00,2023-07-18 오후 01:26,다짐(되메우기) 불량,,3.3,8,0.4,0,0,0,35.1375048098,129.1007043842,"확인굴착 후 ASP 포장 복구 완료 : 7.18.(화) 05시 포장완료
보도구간은 현재 미복구로 보행자 통행 제한(기상여건 감안하여 최대한 신속히 복구 예정)",복구완료,2023-12-27 오전 00:00,2023-07-18 오후 01:26,,
161,충청북도 청주시 청원구 주성동 91-5,2023-07-17 오전 00:00,2024-01-11 오후 05:46,하수관 손상,,1.5,1.5,1.5,0,0,0,36.673244435,127.5018475614,"파손 붐탐관 복구 공사 및 포장 복구 완료 
",복구완료,2023-12-04 오전 00:00,2024-01-11 오후 05:36,충청북도 청주시,cjlyjd00
162,충청북도 보은군 회남면 사음리 243번지,2023-07-17 오전 00:00,2023-08-22 오후 04:43,기타매설공사 부실,기타,1,2,1,0,0,0,36.4308219966,127.5419657308,긴급보수공사 실시(되메우기),복구완료,2023-07-20 오전 00:00,2023-08-22 오후 04:27,,
163,대구광역시 북구 팔달동 89-6 인근,2023-07-16 오전 00:00,2023-07-18 오전 10:34,기타,,1,1,0.7,0,0,0,35.8976811986,128.544524236,흙다지기 및 되메우기,복구완료,2023-07-26 오전 00:00,2023-07-31 오전 09:16,신상기,ssk3325
164,인천광역시 연수구 송도동 30-6번지 일원,2023-07-13 오전 00:00,2023-07-27 오후 03:47,상수관 손상,기타,20,45,1,0,0,0,37.3975103352,126.630494488,"상수관 연결부위 이탈부분  관로 재연결  
지하매설물 복구 및 도로 재포장 ",복구완료,2023-10-07 오전 00:00,2023-07-27 오후 03:46,,
165,전라남도 순천시 연향동 안산길 22 앞,2023-07-12 오전 00:00,2024-01-10 오전 11:44,하수관 손상,,3,10,0.3,0,0,0,34.9390600316,127.526840503,도로포장,복구완료,2023-07-15 오전 00:00,2024-02-15 오전 11:24,신상기,ssk3325
166,서울특별시 노원구 공릉동 172-18,2023-07-12 오전 00:00,2023-07-12 오전 11:25,하수관 손상,기타,1.8,1.2,1.5,0,0,0,37.631342296,127.0829832203,-,복구완료,2023-07-12 오전 00:00,2023-12-26 오후 01:54,서울특별시 노원구,nowonjis
